Agent,Fitness,Move
Round:  and 323
7,55.0,1
23,27.0,1
Round:  and 324
7,60.0,1
24,19.0,0
Round:  and 325
7,60.0,0
25,24.0,1
Round:  and 326
7,63.0,0
26,16.0,0
Round:  and 327
7,65.0,1
27,21.0,1
Round:  and 328
7,65.0,0
28,24.0,1
Round:  and 329
7,70.0,1
29,19.0,0
Round:  and 330
7,70.0,0
30,24.0,1
Round:  and 331
7,73.0,0
31,16.0,0
Round:  and 332
7,75.0,1
32,27.0,1
Round:  and 333
7,75.0,0
33,24.0,1
Round:  and 334
7,77.0,1
34,27.0,1
Round:  and 335
7,79.0,1
35,21.0,1
Round:  and 336
7,81.0,1
36,27.0,1
Round:  and 337
7,84.0,0
37,16.0,0
Round:  and 338
7,87.0,0
38,16.0,0
Round:  and 339
7,89.0,1
39,27.0,1
Round:  and 340
7,91.0,1
40,27.0,1
Round:  and 341
7,94.0,0
41,16.0,0
Round:  and 342
7,97.0,0
42,16.0,0
Round:  and 343
7,97.0,0
43,24.0,1
Round:  and 344
7,100.0,0
44,16.0,0
Round:  and 345
7,103.0,0
45,16.0,0
Round:  and 346
7,103.0,0
46,24.0,1
Round:  and 347
7,106.0,0
47,16.0,0
Round:  and 348
7,106.0,0
48,24.0,1
Round:  and 349
7,108.0,1
49,27.0,1
Round:  and 350
7,110.0,1
50,21.0,1
Round:  and 351
8,9.0,1
1,82.0,0
Round:  and 352
8,11.0,1
2,95.0,1
Round:  and 353
8,16.0,1
3,198.0,0
Round:  and 354
8,18.0,1
4,198.0,1
Round:  and 355
8,23.0,1
5,79.0,0
Round:  and 356
8,25.0,1
6,191.0,1
Round:  and 357
8,27.0,1
7,112.0,1
Round:  and 358
8,31.0,1
8,31.0,1
Round:  and 359
8,33.0,1
9,29.0,1
Round:  and 360
8,38.0,1
10,16.0,0
Round:  and 361
8,43.0,1
11,18.0,0
Round:  and 362
8,48.0,1
12,24.0,0
Round:  and 363
8,50.0,1
13,29.0,1
Round:  and 364
8,52.0,1
14,23.0,1
Round:  and 365
8,57.0,1
15,22.0,0
Round:  and 366
8,59.0,1
16,29.0,1
Round:  and 367
8,64.0,1
17,22.0,0
Round:  and 368
8,69.0,1
18,16.0,0
Round:  and 369
8,71.0,1
19,29.0,1
Round:  and 370
8,76.0,1
20,16.0,0
Round:  and 371
8,78.0,1
21,29.0,1
Round:  and 372
8,83.0,1
22,16.0,0
Round:  and 373
8,85.0,1
23,29.0,1
Round:  and 374
8,87.0,1
24,21.0,1
Round:  and 375
8,92.0,1
25,24.0,0
Round:  and 376
8,97.0,1
26,16.0,0
Round:  and 377
8,99.0,1
27,23.0,1
Round:  and 378
8,104.0,1
28,24.0,0
Round:  and 379
8,106.0,1
29,21.0,1
Round:  and 380
8,111.0,1
30,24.0,0
Round:  and 381
8,116.0,1
31,16.0,0
Round:  and 382
8,118.0,1
32,29.0,1
Round:  and 383
8,123.0,1
33,24.0,0
Round:  and 384
8,125.0,1
34,29.0,1
Round:  and 385
8,127.0,1
35,23.0,1
Round:  and 386
8,129.0,1
36,29.0,1
Round:  and 387
8,134.0,1
37,16.0,0
Round:  and 388
8,139.0,1
38,16.0,0
Round:  and 389
8,141.0,1
39,29.0,1
Round:  and 390
8,143.0,1
40,29.0,1
Round:  and 391
8,148.0,1
41,16.0,0
Round:  and 392
8,153.0,1
42,16.0,0
Round:  and 393
8,158.0,1
43,24.0,0
Round:  and 394
8,163.0,1
44,16.0,0
Round:  and 395
8,168.0,1
45,16.0,0
Round:  and 396
8,173.0,1
46,24.0,0
Round:  and 397
8,178.0,1
47,16.0,0
Round:  and 398
8,183.0,1
48,24.0,0
Round:  and 399
8,185.0,1
49,29.0,1
Round:  and 400
8,187.0,1
50,23.0,1
Round:  and 401
9,9.0,1
1,82.0,0
Round:  and 402
9,11.0,1
2,97.0,1
Round:  and 403
9,16.0,1
3,198.0,0
Round:  and 404
9,18.0,1
4,200.0,1
Round:  and 405
9,23.0,1
5,79.0,0
Round:  and 406
9,25.0,1
6,193.0,1
Round:  and 407
9,27.0,1
7,114.0,1
Round:  and 408
9,29.0,1
8,189.0,1
Round:  and 409
9,33.0,1
9,33.0,1
Round:  and 410
9,38.0,1
10,16.0,0
Round:  and 411
9,43.0,1
11,18.0,0
Round:  and 412
9,48.0,1
12,24.0,0
Round:  and 413
9,50.0,1
