Agent,Fitness,Move
Generation: 9
41,11,defect
21,9,defect
Generation: 9
43,13,cooperate
1,14,cooperate
Generation: 9
0,12,cooperate
38,10,cooperate
Generation: 9
45,20,defect
47,7,defect
Generation: 9
49,19,defect
36,8,defect
Generation: 9
40,6,defect
32,6,defect
Generation: 9
17,9,cooperate
25,15,cooperate
Generation: 9
48,15,defect
27,14,defect
Generation: 9
14,10,defect
12,13,defect
Generation: 9
19,8,defect
26,10,defect
Generation: 9
37,17,cooperate
39,19,cooperate
Generation: 9
46,13,defect
30,20,defect
Generation: 9
11,15,defect
34,17,defect
Generation: 9
8,15,defect
33,12,defect
Generation: 9
42,13,defect
24,22,defect
Generation: 9
20,25,defect
13,13,defect
Generation: 9
23,8,defect
28,15,defect
Generation: 9
5,15,cooperate
31,10,cooperate
Generation: 10
6,19,cooperate
41,13,defect
Generation: 10
32,6,defect
13,13,defect
Generation: 10
15,13,defect
29,8,cooperate
Generation: 10
31,10,cooperate
12,13,cooperate
Generation: 10
17,12,defect
24,22,defect
Generation: 10
36,8,defect
11,17,defect
Generation: 10
22,16,defect
43,16,defect
Generation: 10
20,27,defect
25,15,cooperate
Generation: 10
27,14,cooperate
8,17,defect
Generation: 10
40,8,defect
38,10,cooperate
Generation: 10
37,20,cooperate
35,21,defect
Generation: 10
26,10,cooperate
34,17,defect
Generation: 10
45,22,cooperate
10,6,cooperate
Generation: 10
33,12,cooperate
30,20,defect
Generation: 10
19,10,defect
16,13,defect
Generation: 10
42,15,cooperate
44,20,cooperate
Generation: 10
48,17,cooperate
1,14,cooperate
Generation: 10
5,18,defect
0,15,defect
Generation: 10
2,11,defect
7,14,defect
Generation: 10
39,19,defect
49,21,defect
Generation: 10
21,9,defect
23,10,cooperate
Generation: 10
3,24,defect
46,15,defect
Generation: 10
4,11,defect
28,15,defect
Generation: 10
9,15,cooperate
14,12,defect
Generation: 10
18,12,defect
47,7,defect
Generation: 11
22,18,defect
27,14,defect
Generation: 11
46,15,cooperate
31,13,defect
Generation: 11
47,7,defect
30,20,defect
Generation: 11
45,25,cooperate
49,21,cooperate
Generation: 11
38,10,defect
21,14,defect
Generation: 11
13,13,defect
42,18,cooperate
Generation: 11
3,26,defect
5,20,defect
Generation: 11
23,10,defect
20,32,defect
Generation: 11
8,17,cooperate
19,12,cooperate
Generation: 11
17,14,cooperate
39,21,cooperate
Generation: 11
14,12,defect
9,15,cooperate
Generation: 11
10,6,cooperate
35,21,defect
Generation: 11
7,14,defect
33,12,cooperate
Generation: 11
37,20,defect
43,16,cooperate
Generation: 11
16,13,defect
2,13,defect
Generation: 11
28,15,defect
40,13,cooperate
Generation: 11
36,10,defect
15,18,defect
Generation: 11
44,20,defect
0,15,defect
Generation: 11
48,20,cooperate
12,13,cooperate
Generation: 11
1,14,cooperate
29,8,cooperate
Generation: 11
25,15,cooperate
11,17,cooperate
Generation: 11
32,8,cooperate
34,17,cooperate
Generation: 11
24,22,defect
18,14,cooperate
Generation: 11
4,13,cooperate
26,10,defect
Generation: 11
6,19,defect
41,13,defect
Generation: 12
41,13,defect
26,10,defect
Generation: 12
40,13,cooperate
23,12,defect
Generation: 12
14,17,cooperate
4,13,cooperate
Generation: 12
22,20,cooperate
3,28,defect
Generation: 12
10,6,defect
6,21,defect
Generation: 12
5,20,cooperate
43,16,cooperate
Generation: 12
38,12,cooperate
17,17,defect
Generation: 12
39,21,defect
24,27,defect
Generation: 12
9,15,cooperate
33,12,cooperate
Generation: 12
16,15,defect
34,17,cooperate
Generation: 12
7,19,cooperate
44,22,cooperate
Generation: 12
12,13,cooperate
42,18,cooperate
Generation: 12
28,20,cooperate
21,14,cooperate
Generation: 12
31,13,defect
48,23,cooperate
Generation: 12
2,13,cooperate
19,12,cooperate
Generation: 12
13,18,cooperate
45,28,cooperate
Generation: 12
25,18,cooperate
8,20,defect
Generation: 12
29,8,defect
15,18,defect
Generation: 12
20,32,defect
1,17,defect
Generation: 12
0,15,cooperate
46,15,cooperate
Generation: 12
32,11,cooperate
47,9,defect
Generation: 12
11,17,defect
30,20,cooperate
Generation: 12
18,14,defect
27,14,defect
Generation: 12
35,21,defect
36,12,defect
Generation: 12
37,25,defect
49,21,defect
Generation: 13
7,22,cooperate
6,21,defect
Generation: 13
45,28,defect
39,23,defect
Generation: 13
32,11,defect
16,20,defect
Generation: 13
38,12,cooperate
27,14,cooperate
Generation: 13
8,20,cooperate
12,16,cooperate
Generation: 13
29,10,cooperate
9,18,defect
Generation: 13
21,14,defect
5,23,cooperate
Generation: 13
31,18,defect
3,28,cooperate
Generation: 13
10,8,cooperate
28,23,cooperate
Generation: 13
48,23,cooperate
15,18,cooperate
Generation: 13
42,18,defect
35,23,defect
Generation: 13
20,34,defect
47,9,defect
Generation: 13
1,17,defect
34,17,cooperate
Generation: 13
23,12,defect
43,16,cooperate
Generation: 13
14,20,defect
18,16,defect
Generation: 13
13,21,defect
44,22,cooperate
Generation: 13
40,13,defect
4,13,cooperate
Generation: 13
2,16,cooperate
17,17,cooperate
Generation: 13
11,22,cooperate
49,21,cooperate
Generation: 13
22,20,cooperate
37,27,defect
Generation: 13
0,18,defect
19,12,defect
Generation: 13
41,15,cooperate
25,18,defect
Generation: 13
33,12,defect
36,12,defect
Generation: 13
46,15,cooperate
26,10,defect
Generation: 13
30,20,defect
24,27,defect
Generation: 14
41,15,defect
33,14,defect
Generation: 14
15,18,defect
27,14,defect
Generation: 14
14,22,cooperate
32,13,cooperate
Generation: 14
18,16,defect
43,16,cooperate
Generation: 14
5,23,cooperate
46,15,cooperate
Generation: 14
4,13,cooperate
39,23,cooperate
Generation: 14
30,22,defect
23,17,defect
Generation: 14
35,23,defect
8,23,cooperate
Generation: 14
31,23,defect
6,21,defect
Generation: 14
28,23,defect
49,21,defect
Generation: 14
2,19,defect
38,15,defect
Generation: 14
45,30,defect
37,27,cooperate
Generation: 14
12,16,cooperate
42,20,defect
Generation: 14
7,22,defect
3,28,cooperate
Generation: 14
47,9,defect
0,20,cooperate
Generation: 14
34,17,defect
17,17,defect
Generation: 14
22,20,defect
29,10,defect
Generation: 14
40,18,cooperate
10,11,cooperate
Generation: 14
16,20,cooperate
9,18,defect
Generation: 14
24,27,cooperate
36,12,defect
Generation: 14
44,22,defect
1,22,defect
Generation: 14
19,12,defect
48,26,defect
Generation: 14
20,36,defect
11,25,defect
Generation: 14
26,10,defect
25,18,defect
Generation: 14
21,19,defect
13,26,defect
Generation: 15
41,17,defect
36,12,defect
Generation: 15
26,12,defect
5,26,defect
Generation: 15
9,18,defect
6,21,defect
Generation: 15
49,21,defect
22,22,defect
Generation: 15
14,25,defect
28,25,defect
Generation: 15
38,15,defect
7,27,defect
Generation: 15
35,28,defect
3,28,defect
Generation: 15
29,10,defect
4,16,defect
Generation: 15
21,21,defect
13,26,defect
Generation: 15
2,21,defect
37,27,cooperate
Generation: 15
10,11,cooperate
42,20,cooperate
Generation: 15
24,27,cooperate
18,21,defect
Generation: 15
30,24,defect
40,21,cooperate
Generation: 15
11,25,cooperate
34,19,defect
Generation: 15
27,14,defect
15,20,defect
Generation: 15
39,23,defect
48,26,defect
Generation: 15
8,23,cooperate
44,24,defect
Generation: 15
43,16,defect
33,14,cooperate
Generation: 15
31,25,defect
1,22,defect
Generation: 15
45,35,defect
16,20,defect
Generation: 15
17,17,cooperate
47,14,defect
Generation: 15
25,18,defect
19,14,defect
Generation: 15
20,38,defect
32,13,defect
Generation: 15
12,16,defect
0,20,cooperate
Generation: 15
23,17,defect
46,15,defect
Generation: 16
42,20,defect
37,27,cooperate
Generation: 16
31,27,defect
0,20,cooperate
Generation: 16
12,21,cooperate
8,23,cooperate
Generation: 16
22,22,cooperate
14,27,defect
Generation: 16
38,17,cooperate
28,25,cooperate
Generation: 16
43,21,defect
49,23,defect
Generation: 16
10,14,defect
29,12,cooperate
Generation: 16
23,19,cooperate
1,22,cooperate
Generation: 16
27,16,cooperate
48,26,defect
Generation: 16
20,40,defect
33,14,cooperate
Generation: 16
5,26,cooperate
4,16,cooperate
Generation: 16
9,20,cooperate
35,30,defect
Generation: 16
24,27,defect
45,37,defect
Generation: 16
2,26,defect
13,26,defect
Generation: 16
3,28,defect
15,20,defect
Generation: 16
6,21,defect
44,24,defect
Generation: 16
18,21,defect
26,14,defect
Generation: 16
32,13,defect
7,27,cooperate
Generation: 16
16,20,defect
30,29,defect
Generation: 16
46,15,cooperate
39,25,cooperate
Generation: 16
40,21,defect
21,23,defect
Generation: 16
36,12,defect
11,25,defect
Generation: 16
25,20,defect
41,19,defect
Generation: 16
34,19,defect
19,14,defect
Generation: 16
17,17,cooperate
47,14,cooperate
Generation: 17
8,23,cooperate
47,14,cooperate
Generation: 17
22,22,cooperate
7,27,defect
Generation: 17
35,30,defect
46,18,cooperate
Generation: 17
20,45,cooperate
45,37,defect
Generation: 17
25,22,defect
40,23,defect
Generation: 17
30,29,defect
14,27,defect
Generation: 17
48,26,defect
0,20,cooperate
Generation: 17
32,18,cooperate
13,26,cooperate
Generation: 17
4,16,cooperate
33,14,defect
Generation: 17
1,22,defect
31,32,defect
Generation: 17
44,24,cooperate
3,30,defect
Generation: 17
36,14,defect
29,12,cooperate
Generation: 17
39,25,cooperate
23,22,cooperate
Generation: 17
6,23,defect
27,16,defect
Generation: 17
15,20,defect
43,23,defect
Generation: 17
42,25,defect
34,21,defect
Generation: 17
16,22,defect
9,20,cooperate
Generation: 17
38,20,cooperate
10,19,cooperate
Generation: 17
24,29,cooperate
2,28,cooperate
Generation: 17
12,24,cooperate
5,29,cooperate
Generation: 17
19,14,defect
37,27,defect
Generation: 17
21,23,defect
28,25,defect
Generation: 17
17,20,defect
11,25,defect
Generation: 17
49,23,defect
41,19,defect
Generation: 17
18,23,defect
26,14,defect
Generation: 18
11,25,defect
19,16,defect
Generation: 18
26,14,defect
25,24,defect
Generation: 18
0,20,defect
13,26,defect
Generation: 18
47,14,cooperate
4,16,defect
Generation: 18
1,24,defect
43,23,cooperate
Generation: 18
48,31,defect
23,22,defect
Generation: 18
38,23,defect
18,25,defect
Generation: 18
31,32,defect
10,19,defect
Generation: 18
17,22,defect
44,24,defect
Generation: 18
28,25,defect
8,26,cooperate
Generation: 18
45,37,defect
32,21,defect
Generation: 18
3,30,defect
24,32,cooperate
Generation: 18
37,27,defect
2,28,defect
Generation: 18
5,29,cooperate
16,27,defect
Generation: 18
40,23,defect
29,12,cooperate
Generation: 18
41,19,defect
21,25,defect
Generation: 18
35,35,defect
22,22,defect
Generation: 18
9,20,cooperate
46,18,defect
Generation: 18
49,25,defect
30,31,defect
Generation: 18
20,45,defect
36,19,defect
Generation: 18
39,28,defect
12,27,defect
Generation: 18
27,16,defect
14,27,defect
Generation: 18
42,27,defect
15,22,defect
Generation: 18
34,21,defect
6,25,defect
Generation: 18
33,14,defect
7,27,defect
Generation: 19
44,24,defect
4,16,defect
Generation: 19
5,29,defect
20,47,defect
Generation: 19
17,24,defect
29,12,defect
Generation: 19
6,25,defect
18,25,defect
Generation: 19
34,23,defect
41,21,defect
Generation: 19
38,25,defect
8,26,cooperate
Generation: 19
28,30,cooperate
25,24,cooperate
Generation: 19
43,23,defect
23,22,defect
Generation: 19
24,32,cooperate
32,21,cooperate
Generation: 19
45,39,cooperate
12,27,cooperate
Generation: 19
1,29,cooperate
22,22,cooperate
Generation: 19
30,31,defect
36,19,defect
Generation: 19
2,28,defect
46,18,defect
Generation: 19
13,26,defect
49,27,defect
Generation: 19
0,22,cooperate
7,27,cooperate
Generation: 19
3,35,cooperate
31,34,defect
Generation: 19
16,27,cooperate
48,33,defect
Generation: 19
39,30,defect
42,29,cooperate
Generation: 19
33,16,defect
27,18,defect
Generation: 19
26,16,defect
9,20,defect
Generation: 19
40,28,defect
10,19,defect
Generation: 19
21,25,defect
14,27,defect
Generation: 19
47,14,cooperate
11,27,cooperate
Generation: 19
15,22,cooperate
37,29,defect
Generation: 19
35,37,defect
19,16,defect
Generation: 20
11,27,defect
3,35,defect
Generation: 20
32,21,defect
